Currency,Date,Close,Open,High,Low
LTC,28-09-20,45.98778304,46.05321363,46.5531778,44.61527448
LTC,29-09-20,46.19486239,46.05946353,47.12454191,46.04156439
LTC,30-09-20,45.44673507,45.21100485,45.78130417,44.97688814
LTC,01-10-20,46.06110567,45.69953444,46.70473907,45.48306744
LTC,02-10-20,46.08013781,46.25071376,48.52113091,45.3339137
LTC,03-10-20,44.87627041,46.26850608,46.98960911,43.30691864
LTC,04-10-20,45.74824371,44.92977488,46.01460033,44.77583879
LTC,05-10-20,46.60521129,45.57774013,46.98955648,45.36856256
LTC,06-10-20,46.11566673,46.71061341,47.05627586,45.58828583
LTC,07-10-20,45.80509987,46.34913859,48.23158833,45.55967069
LTC,08-10-20,46.46042312,45.97284258,46.91945944,45.06544272
LTC,09-10-20,47.17848806,46.57257681,47.48263775,45.52076035
LTC,10-10-20,47.93841909,47.24529896,48.22312877,46.65469966
LTC,11-10-20,49.34283048,47.8154684,50.44605933,47.7989749
LTC,12-10-20,50.50045288,48.86437649,51.23832149,48.74849344
LTC,13-10-20,51.30117055,50.50028362,51.52586055,49.36843149
LTC,14-10-20,50.01624894,50.60175652,50.70333131,48.94785351
LTC,15-10-20,49.65702743,49.9374879,50.89417405,49.35060922
LTC,16-10-20,49.46330271,49.8583626,50.29022262,49.04550528
LTC,17-10-20,47.73364955,49.56507297,49.84713217,45.70397787
LTC,18-10-20,46.78311432,47.64061601,47.67161817,46.65664345
LTC,19-10-20,47.53379079,46.94865407,47.90088057,46.84293538
LTC,20-10-20,48.17237077,47.58896933,48.42286976,46.8497121
LTC,21-10-20,46.97258084,48.00938589,48.34269537,46.44488143
LTC,22-10-20,54.36726983,46.91885577,54.51565527,46.89680786
LTC,23-10-20,55.13645261,53.0642513,56.26063271,53.04751902
LTC,24-10-20,55.35910131,54.41258613,57.01109268,53.42338835
LTC,25-10-20,58.97706817,55.437777,59.66418607,54.87312654
LTC,26-10-20,58.49909445,59.25316795,60.00196423,56.61454074
LTC,27-10-20,56.66862168,58.86822949,59.30874634,55.0340804
LTC,28-10-20,57.85469766,56.88466982,59.00709242,56.54837978
LTC,29-10-20,55.61419037,57.95239609,60.48043979,54.78287293
LTC,30-10-20,54.62302983,55.82588748,56.56827184,53.47666638
LTC,31-10-20,54.15584896,54.90722046,55.7528004,52.30573612
LTC,01-11-20,56.04419739,54.0787514,56.52230026,53.70192018
LTC,02-11-20,55.62635508,55.81599703,56.2411761,54.36693633
LTC,03-11-20,54.1248757,55.63670488,56.79159746,53.14693483
LTC,04-11-20,53.76458499,53.86822121,54.38434655,51.25248081
LTC,05-11-20,55.16958141,53.93150154,55.21633921,51.71872663
LTC,06-11-20,59.52878692,54.72608599,59.77638047,54.72608599
LTC,07-11-20,61.67176865,59.01196178,63.16350783,58.71609258
LTC,08-11-20,59.03839589,63.30403248,64.63309437,56.93444597
LTC,09-11-20,60.95534975,58.897413,62.03526241,58.58707509
LTC,10-11-20,58.84454347,61.02587176,61.79992554,57.55236337
LTC,11-11-20,58.25043725,59.23919444,59.6073939,57.23475446
LTC,12-11-20,59.61596607,57.9932222,60.5541947,57.89978322
LTC,13-11-20,59.31400249,59.32255653,60.52808877,57.69874763
LTC,14-11-20,65.87561162,60.74894535,66.64160162,60.19945649
LTC,15-11-20,62.99157536,65.96312816,66.2954545,61.71922013
LTC,16-11-20,62.00186632,63.87787664,64.43216745,61.14251741
LTC,17-11-20,71.83351289,62.34336191,72.68626514,62.15507352
LTC,18-11-20,76.41285602,73.85884477,76.41932728,71.47359354
LTC,19-11-20,74.35395499,76.37072371,77.13178342,69.22083714
LTC,20-11-20,82.40680101,73.46313005,83.41789851,71.88464143
LTC,21-11-20,82.04622857,81.63060035,85.43055114,80.13433879
LTC,22-11-20,85.38018596,82.56273281,88.37726863,80.26481382
LTC,23-11-20,85.52222633,87.03604734,87.80868433,80.16996521
LTC,24-11-20,89.02615392,82.80814188,89.60555336,80.87566887
LTC,25-11-20,88.24355905,89.07056304,93.33729085,85.58148934
LTC,26-11-20,82.01898997,89.25274971,90.68896376,81.93878537
LTC,27-11-20,70.93928741,81.77342214,83.04188541,64.62694751
LTC,28-11-20,68.57342697,71.10407903,73.60799863,65.41426948
LTC,29-11-20,73.72652996,69.25449275,74.99895899,68.4209319
